abbreviation,team,colour
NAP,Napoli ,
NWE,New England ,
NRB,New York Red Bulls ,
NEW,Newcastle United ,
NEW,Newport,
NIC,Nice,
NOR,Northampton ,
NOR,Norwich,
FOR,Nottingham Forest ,#DD0000 
NOT,Notts County ,
OLD,Oldham ,
ORL,Orlando City ,
OXF,Oxford United ,
PAD,Paderborn ,
PAL,Palermo,
PSG,Paris Saint German ,
PAR,Parma ,
PET,Peterborough,
PUN,Philadelphia Union ,
PLY,Plymouth ,
PVL,Port Vale ,
FCP,Porto,#00428c
PTT,Portland Timbers ,
POR,Portsmouth ,#001489
PRE,Preston ,
QPR,Queens Park Rangers ,
RVA,Rayo Vallecano ,
REA,Reading ,
RMD,Real Madrid,#FEBE10
RSL,Real Salt Lake ,
RSD,Real Sociedad ,
REN,Rennes,
ROC,Rochdale ,
ROM,Roma ,
ROS,Rostov,
ROT,Rotherham United,
KAZ,Rubin Kazan ,
ASS,Saint Etienne ,
SAM,Sampdoria ,
SAS,Sassuolo ,
SCK,Schalke ,
SCU,Scunthorpe ,
SSO,Seattle Sounders,
SEV,Sevilla ,
SHU,Sheffield United ,
SHW,Sheffield Wednesday ,
SHR,Shrewsbury ,
SST,Sion Sitten,
SOT,Southampton ,
SOU,Southend United ,
SPA,Spartak Moscow,
SKC,Sporting Kansas City ,
SDR,Stade Reims ,
STE,Stevenage ,
STO,Stoke City ,
STU,Stuttgart,
SUN,Sunderland ,
SWA,Swansea City ,
SWI,Swindon ,
TRG,Terek Grozny ,
THU,Thun,
TOR,Torino ,
TOR,Toronto,
TMW,Torpedo Moscow ,
TOT,Tottenham Hotspur ,
TOU,Toulouse,
TRA,Trabzonspor,
TRA,Tranmere Rovers ,
UDN,Udinese ,
UFA,Ufa,
URA,Ural ,
VAD,Vaduz ,
VAL,Valencia,
VCW,Vancouver Whitecaps,
VIL,Villarreal ,
WAL,Walsall ,
WAT,Watford,
BRE,Werder Bremen ,
WBA,West Bromwich Albion ,
WHU,West Ham United ,
WIG,Wigan ,#1d59af
WIM,Wimbledon ,
WOL,Wolfsburg ,
WOL,Wolves,
WYC,Wycombe,
YEO,Yeovil Town,
YOR,York ,
YBY,Young Boys ,
ZEN,Zenit St-Petersburg ,
ZUR,Zurich ,
